allegiance	n. 效忠，忠诚；忠贞	Before Sept. 11 became an argument about war, security, patriotism or political _______, it was an encounter with human vulnerability and then human resilience.	在9月11日之前，这是一场关于战争、安全、爱国主义或政治忠诚的争论，这是一场与人类脆弱性的遭遇，然后是人类复原力的遭遇。
mincing	adj. 装腔作势的；矫饰的	"Over to you Keir," says a senior minister, not _______ his words.	“交给你了，基尔，”一位高级大臣说，没有贬低他的话。
problematic	adj. 问题的；有疑问的；不确定的	“NYC 93” is about the celebratory chaos of band life in the early ’90s, “The Long Goodbye” addresses the horrors of dementia, and the title track is about closure, whether positive or _______ .	“NYC 93”讲述了90年代初乐队生活的庆祝混乱， “漫长的告别”讲述了痴呆症的恐怖，标题曲是关于关闭，无论是积极的还是有问题的。
ravel	vt. 解开（线圈等）；弄清 vi. 使更复杂 n. 纠结，纠缠	“Hence, _______; a tool that does the fiddly nesting together of details and summary tags for you.”	“因此， RAVL是一个工具，可以将细节和摘要标签巧妙地嵌套在一起。”
tender	adj. 温柔的；（食物）柔软的；疼痛的 vt. 提议 n. 投标	Tatiana, the Afro-Caribbean restaurant at New York’s Lincoln Center, is one of the toughest reservations in the city, thanks in part to dishes like _______ Wagyu short rib and head-on shrimp drenched in Creole butter.	纽约林肯中心（ Lincoln Center ）的Tatiana餐厅是该市最难预订的餐厅之一，这在一定程度上要归功于嫩和牛短排和克里奥尔黄油正面虾等菜肴。
title	n. 冠军；标题；头衔；权利 vt. 加标题于；赋予头衔	Eccles said he hoped to defend his _______ next year and that he planned to continue gurning "until the day I can't do it anymore".	埃克尔斯说，他希望明年能够捍卫自己的头衔，并计划继续“直到我再也做不到的那一天”。
derogatory	adj. 贬低的，不敬的，持批评态度的	What’s even more frustrating is that, when it was first announced, the Met said the exhibition would address the _______ conduct that fundamentally altered Galliano’s career and reception.	更令人沮丧的是，当它首次宣布时，大都会表示展览将解决从根本上改变加利亚诺职业生涯和接待的贬损行为。
recrimination	n. 反责，反控；（互相）指责	This matter calls for sober deliberation with a minimum of partisanship and _______ .	这件事需要冷静的审议，尽量减少党派偏见和指责。
distinction	n. 区别；差别；特性；荣誉、勋章	The record of the 2005 San Diego Padres, the worst squad ever to qualify for the MLB playoffs in an uninterrupted season—a dubious _______ that could fall this year.	2005年圣地亚哥教士队的纪录，是有史以来最差的球队，在不间断的赛季中获得美国职业棒球大联盟季后赛的资格-今年可能会出现令人怀疑的区别。
woe	n. 困难，灾难；痛苦，悲伤 int. 唉	Even Jon Bernthal’s Punisher, an occasional ally to Spider-Man, embraces the _______ .	即使Jon Bernthal的惩罚者，偶尔也是蜘蛛侠的盟友，也会拥抱悲惨局面。
perpetrate	vt. 犯（罪）；做（恶）	Amodei’s main concern, he wrote in the letter, was the risk of authoritarian governments catching up with the U.S. in AI “to achieve permanent military superiority or _______ incredibly deep repression of their own people.”	他在信中写道， Amodei的主要担忧是专制政府在人工智能领域赶上美国的风险， “以实现永久的军事优势或对本国人民进行令人难以置信的深度镇压。”
warranty	n. 保证；担保；授权；理由	JLR had indicated at the time that it would make the savings through cuts in areas such as materials, _______ and fixed costs.	捷豹路虎当时表示，它将通过削减材料、保修和固定成本等领域来节省开支。
pretext	n. 借口；托辞 vt. 以…为借口	She believed they were duped by the daughter of ex-president Jacob Zuma under the _______ of attending a personal development course in Russia.	她认为他们被前总统雅各布·祖马的女儿以参加俄罗斯的个人发展课程为借口欺骗了。
ramble	v. （在乡间）漫步，闲逛；漫谈 n. 漫步；长篇大论	In plain language, that means he’s probably going to _______ late into the night about a bunch of baseless conspiracy theories.	用简单的语言来说，这意味着他可能会在深夜漫步，谈论一堆毫无根据的阴谋论。
reiterate	vt. 重申；反复地做	Their mission, as Kirk would _______ at the top of each episode, was “to explore strange new worlds,” “seek out new life and new civilizations” and “boldly go where no man has gone before.”	正如柯克在每集的顶部所重申的那样，他们的任务是“探索陌生的新世界” ， “寻找新的生命和新的文明” ， “大胆地走向以前没有人去过的地方”。
abstemious	adj. 节约的，节省的；有节制的	By 2014, she says, “the _______, incorruptible leader had become a louche, boorish one.”	她说，到2014年， “这位节制、廉洁的领导者已经变成了一个笨拙、粗鲁的领导者。”
founder	n. 创立者，创办者 v. 失败；（船）沉没；蹒跚	“All the girls want to bring their boyfriends and husbands,” said Laura Wilson, _______ of Natural Pilates, a studio in Los Angeles and New York.	洛杉矶和纽约的自然普拉提工作室创始人劳拉·威尔逊（ Laura Wilson ）说： “所有的女孩都想带上她们的男朋友和丈夫。”
detraction	n. 诽谤；减损	For the Logan community the charter has long been an unwanted _______ from their efforts.	对于洛根社区来说，该宪章长期以来一直是他们努力的不必要的减损。
zephyr	n. 和风；西风；轻薄织物	Indulge yourself with handcrafted, artisanal, small-batch chocolates, including yuzu pâte de fruit, sesame crunch, honey ganache and cinnamon _______ ganache flavors.	尽情享用手工制作、手工制作的小批量巧克力，包括柚子、芝麻、蜂蜜和肉桂口味。
rebuff	n. 断然拒绝；回绝 vt. 断然拒绝	On July 28, 2020, George Stephanopoulos interviewed Dr. Fauci on ABC’s “Good Morning America,” and the host offered an easy opening for Dr. Fauci to _______ criticism by President Trump.	2020年7月28日， George Stephanopoulos在美国广播公司的“早安美国”节目中采访了Fauci博士，主持人为Fauci博士提供了一个轻松的开场白，以拒绝特朗普总统的批评。
chastise	vt. 惩罚；严惩；责骂	Pete and Viv _______ Corey about his wayward ways—for example, his failure to show up at their mother’s funeral.	皮特和薇薇责备科里任性的举动--例如，他没有出现在他们母亲的葬礼上。
marked	adj. 显著的；有记号的 v. 表示；作记号	That _______ both the end of Skubal’s start and the beginning of the Dodgers’ offensive onslaught.	这标志着斯库巴的开局和道奇进攻的开始。
frigid	adj. 寒冷的，严寒的；冷淡的	But on that day, the Wolverines’ punter could almost be forgiven for fumbling a long snap that came spiraling toward him in _______ autumn conditions.	但在那一天，狼獾的下注者几乎可以原谅，因为他在寒冷的秋季条件下摸索了一个长长的啪啪声。
impassive	adj. 冷漠的；无感觉的	Her face remained _______ even as tears formed and began to travel down her cheek.	她的脸仍然无动于衷，即使眼泪形成，开始流下她的脸颊。
schism	n. 分裂；分裂教会罪	You could ache for the cozy city of the past in “The Royal Tenenbaums” or grabble with the _______ of everything suddenly feeling different in “Mulholland Drive.”	您可以在「皇家特嫩鲍姆（ The Royal Tenenbaums ）」中为过去的舒适城市感到痛苦，也可以在「穆赫兰大道（ Mulholland Drive ）」中抓住一切突然感觉不同的分裂。
liquidate	vt. 清算；偿付；消除 vi. 清算；清理债务	The government initially took control of SSUK, previously part of Liberty Steel, last year after it was forced to _______ by the High Court.	去年，在高等法院被迫清算后，政府最初控制了SSUK ，后者以前是Liberty Steel的一部分。
prosaic	adj. 平凡的，乏味的；散文体的	But there are other, more _______, unintended consequences to consider too.	但还有其他更平淡无奇的意外后果需要考虑。
swarm	n. 一大群；蜂群；人群 v. 成群来回移动；蜂拥而至	Two weeks after a _______ of AI agents broke out of containment at OpenAI to hack the company Hugging Face, the ChatGPT maker learned about another AI-powered intrusion—and this time it was the target.	两周后，一群人工智能特工从OpenAI的遏制中爆发，入侵了Hugging Face公司， ChatGPT制造商了解到另一个人工智能驱动的入侵-这次是目标。
abominable	adj. 讨厌的；令人憎恶的；糟透的	She said her party was pushing for a "diplomatic resolution of this _______ war".	她说，她的政党正在推动“通过外交途径解决这场令人憎恶的战争”。
irrational	adj. 不合理的；无理性的；荒谬的 n. 无理数	Keeping a collection of arbitrary objects may be _______ .	保留任意对象的集合可能是不合理的。
preeminent	adj. 卓越的；超群的	Claire McNear, America’s _______ Jeopardy! reporter, did a deep dive into the beloved event—which disappeared after Trebek’s death—and got some news about its future.	美国杰出的《危险边缘！》记者克莱尔·麦克尼尔（ Claire McNear ）深入研究了这个在特雷贝克去世后消失的可爱事件，并获得了一些关于其未来的消息。
geniality	n. 亲切；温暖；舒适	Elsewhere she defined the term as “this mixture of _______ and sentiment stuck together with a sticky slime of calf’s-foot jelly.”	在其他地方，她将这个术语定义为“这种和蔼可亲和情感的混合物与一团粘稠的小腿果冻粘在一起。”
pan	n. 平底锅；秤盘 v. 淘金；严厉批评	Watch the mushrooms more than the clock; a mix containing oyster mushrooms behaves differently than a _______ full of white buttons.	观看蘑菇多于观看时钟；含有牡蛎蘑菇的混合物的行为与装满白色纽扣的平底锅不同。
